472.5148  0.5664
473.9358  0.5675
475.3567  0.5686
476.7768  0.5686
478.1978  0.5697
479.6179  0.5697
481.0388  0.5709
482.4598  0.572
483.8807  0.5732
485.3009  0.5732
486.7218  0.5743
488.1419  0.5743
488.1428  0.5755
489.5636  0.5766
490.9847  0.5777
492.4048  0.5777
493.8256  0.5789
495.2458  0.5789
496.666  0.5789
498.0869  0.58
499.507  0.58
500.928  0.5812
502.3481  0.5812
503.769  0.5823
505.19  0.5835
506.6101  0.5835
508.0302  0.5835
509.4503  0.5835
510.8713  0.5846
512.2913  0.5846
513.7123  0.5857
515.1325  0.5857
516.5534  0.5869
517.9735  0.5869
519.3945  0.588
520.8146  0.588
522.2347  0.588
523.6557  0.5893
525.0758  0.5893
526.4959  0.5892
527.9167  0.5904
529.3378  0.5916
530.7579  0.5916
532.178  0.5916
533.599  0.5928
535.0191  0.5928
536.44  0.5939
537.8601  0.5939
539.2811  0.5951
540.7012  0.5951
542.1213  0.5951
543.5423  0.5963
544.9624  0.5963
546.3833  0.5975
547.8034  0.5975
549.2236  0.5974
550.6444  0.5986
552.0646  0.5986
553.4856  0.5998
554.9057  0.5998
556.3266  0.601
557.7468  0.601
559.1669  0.601
560.5878  0.6021
562.0079  0.6021
563.4289  0.6034
564.849  0.6034
566.2691  0.6034
567.6892  0.6034
569.1102  0.6046
570.5303  0.6045
571.9512  0.6058
573.3714  0.6057
574.7915  0.6057
576.2124  0.6069
577.6324  0.6069
579.0535  0.608
580.4736  0.608
581.8944  0.6093
583.3147  0.6093
584.7348  0.6093
586.1549  0.6093
587.575  0.6093
588.9959  0.6105
590.4161  0.6105
591.837  0.6117
593.257  0.6117
594.6772  0.6117
596.0974  0.6117
597.5183  0.6129
598.9384  0.6129
600.3594  0.6141
601.7795  0.6141
603.1996  0.6141
604.6205  0.6153
606.0407  0.6153
607.4616  0.6166
608.8817  0.6166
610.3018  0.6165
611.7227  0.6178
613.1429  0.6178
614.563  0.6178
615.984  0.619
617.4041  0.619
618.825  0.6202
620.2451  0.6202
621.6653  0.6202
623.0854  0.6202
624.5063  0.6214
625.9264  0.6214
627.3465  0.6214
628.7675  0.6226
630.1876  0.6226
631.6077  0.6226
633.0287  0.6239
634.4487  0.6239
635.8689  0.6238
637.2899  0.6251
638.71  0.6251
640.1301  0.6251
641.551  0.6263
642.971  0.6263
644.3913  0.6263
645.8114  0.6263
647.2323  0.6275
648.6524  0.6275
650.0725  0.6275
651.4935  0.6288
652.9136  0.6288
654.3336  0.6288
655.7547  0.63
657.1748  0.63
658.5949  0.63
660.015  0.63
661.4351  0.63
662.8561  0.6312
