20	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
21	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
22	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
23	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
24	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
25	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
26	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
27	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
28	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
29	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
30	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
31	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
32	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
33	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
34	SIEGFRIED	2	5		37.5	70		0		1e3	1e3		1e3		1e3		1e3		0	0		0	0	6	3	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001 1.0 0.001
35	BEGE		1	0.5		40.5	32.0    1e-3	1e3	400e3   400e3	1e3		1e3		0	0		0	0	0	0	0	EnrichedGe 	EnrichedGe 	EnrichedGe 1.0 0.001
36  BEGe_b2b	3	0.	37.5	35.0	0.0	0.0	600e3	600e3	600e3	1e3	0	0	0	0 	0	0	0	EnrichedGe 	EnrichedGe 	EnrichedGe
37  GD32B	4	0.0	35.9	32.2	0.0	590.0	988e3	988e3	988e3	1e3	7.5	10.5	2.0	0.0	0	0	0.0	EnrichedGe 	EnrichedGe 	EnrichedGe  1.0 0.001
38  GD32C	4	0.0	36.0	33.2	0.0	590.0	809e3	809e3	809e3	1e3	7.5	10.5	2.0	0.0	0	0	0.0	EnrichedGe 	EnrichedGe 	EnrichedGe  1.0 0.001
39  GD32D	4	0.0	36.1	32.0	0.0	590.0	683e3	683e3	683e3	1e3	7.5	10.5	2.0	0.0	0	0	0.0	EnrichedGe 	EnrichedGe 	EnrichedGe  1.0 0.001
40  GD35B	4	0.0	38.3	32.0	0.0	590.0	785e3	785e3	785e3	1e3	7.5	10.5	2.0	0.0	0	0	0.0	EnrichedGe 	EnrichedGe 	EnrichedGe  1.0 0.001
41  GD35C	4	0.0	37.4	26.4	0.0	590.0	764e3	764e3	764e3	1e3	7.5	10.5	2.0	0.0	0	0	0.0	EnrichedGe 	EnrichedGe 	EnrichedGe  1.0 0.001
42 GD32A 5 0.0 33.13	 24.90	 5.50	 590.0	 910e3	 910e3	 910e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 30.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
43 GD32B 5 0.0 35.95	 32.16	 0.00	 590.0	 1050e3	 1050e3	 1050e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
44 GD32C 5 0.0 35.99	 33.15	 0.00	 590.0	 960e3	 960e3	 960e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
45 GD32D 5 0.0 36.15	 32.12	 0.00	 590.0	 770e3	 770e3	 770e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
46 GD35A 5 0.0 36.77	 35.34	 12.75	 590.0	 950e3	 950e3	 950e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 29.12	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
47 GD35B 5 0.0 38.16	 32.10	 0.00	 590.0	 780e3	 780e3	 780e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
48 GD35C 5 0.0 37.42	 26.32	 0.00	 590.0	 790e3	 790e3	 790e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
49 GD61A 5 0.0 36.74	 33.57	 16.13	 590.0	 1010e3	 1010e3	 1010e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 31.75	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
50 GD61B 5 0.0 37.98	 30.21	 0.00	 590.0	 1000e3	 1000e3	 1000e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
51 GD61C 5 0.0 37.28	 26.45	 0.00	 590.0	 920e3	 920e3	 920e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
52 GD76B 5 0.0 29.14	 26.29	 0.00	 590.0	 1140e3	 1140e3	 1140e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
53 GD76C 5 0.0 37.92	 33.18	 0.00	 590.0	 1140e3	 1140e3	 1140e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
54 GD79B 5 0.0 38.42	 29.04	 0.00	 590.0	 1040e3	 1040e3	 1040e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
55 GD79C 5 0.0 39.48	 30.22	 0.00	 590.0	 1100e3	 1100e3	 1100e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
56 GD89A 5 0.0 34.31	 28.34	 12.00	 590.0	 990e3	 990e3	 990e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 25.25	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
57 GD89B 5 0.0 38.02	 24.85	 0.00	 590.0	 1130e3	 1130e3	 1130e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
58 GD89C 5 0.0 37.35	 24.75	 0.00	 590.0	 990e3	 990e3	 990e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
59 GD89D 5 0.0 36.72	 22.89	 0.00	 590.0	 1020e3	 1020e3	 1020e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
60 GD91A 5 0.0 35.27	 31.18	 11.50	 590.0	 990e3	 990e3	 990e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 28.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
61 GD91B 5 0.0 35.29	 30.26	 0.00	 590.0	 960e3	 960e3	 960e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
62 GD91C 5 0.0 34.95	 29.79	 0.00	 590.0	 960e3	 960e3	 960e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
63 GD91D 5 0.0 35.65	 31.88	 0.00	 590.0	 990e3	 990e3	 990e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 0.00	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
64 GD00A 5 0.0 35.16	 26.41	 14.35	 590.0	 910e3	 910e3	 910e3	 1e3	 7.5	 10.5	 2.0	 0.0 0 0 23.25	 EnrichedGe EnrichedGe EnrichedGe 1.0 0.001
